==37195== NVPROF is profiling process 37195, command: python train_multigpu.py --train_dir ./train_multigpu1 --batch_size 48 --num_gpus 4 --max_steps 25000 --initial_lr 0.001 --lr_step_epoch 3.0 --lr_decay 0.1 --l2_weight 0.0001 --momentum 0.9 --gpu_fraction 0.96 --checkpoint_interval 6672
==37195== Profiling application: python train_multigpu.py --train_dir ./train_multigpu1 --batch_size 48 --num_gpus 4 --max_steps 25000 --initial_lr 0.001 --lr_step_epoch 3.0 --lr_decay 0.1 --l2_weight 0.0001 --momentum 0.9 --gpu_fraction 0.96 --checkpoint_interval 6672
==37195== Warning: Found 875727 invalid records in the result.
==37195== Warning: This can happen if device ran out of memory or if a device kernel was stopped due to an assertion.
==37195== Profiling result:
Time(%)      Time     Calls       Avg       Min       Max  Name
  2.03%  13.0976s      1657  7.9044ms  3.3655ms  15.953ms  void cudnn::detail::dgrad_engine<float, int=512, int=6, int=5, int=3, int=3, int=3, bool=1>(int, int, int, float const *, int, float const , int, cudnn::detail::dgrad_engine<float, int=512, int=6, int=5, int=3, int=3, int=3, bool=1>*, kernel_grad_params, int, int, float, int)
  1.99%  12.8080s      1468  8.7248ms  4.3389ms  14.693ms  void cudnn::detail::dgrad_engine<float, int=128, int=6, int=7, int=3, int=3, int=5, bool=1>(int, int, int, float const *, int, float const , int, cudnn::detail::dgrad_engine<float, int=128, int=6, int=7, int=3, int=3, int=5, bool=1>*, kernel_grad_params, int, int, float, int)
  1.94%  12.5199s      5444  2.2998ms  1.9773ms  4.3308ms  maxwell_scudnn_128x128_small_nn
  1.89%  12.1879s      9135  1.3342ms  317.80us  18.031ms  void fermiPlusCgemmLDS128_batched<bool=1, bool=0, bool=0, bool=0, int=4, int=4, int=4, int=3, int=3>(float2**, float2**, float2**, int, int, int, int, int, int, float2 const *, float2 const *, float2, float2, int)
  1.89%  12.1382s     38902  312.02us  36.897us  1.3279ms  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=2, int=1, int>, int=16>, Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_sum_op<float>, Eigen::TensorMap<Eigen::Tensor<float const , int=2, int=1, int>, int=16> const , Eigen::TensorBroadcastingOp<Eigen::array<long, unsigned long=2> const , Eigen::TensorMap<Eigen::Tensor<float const , int=2, int=1, int>, int=16> const > const > const > const , Eigen::GpuDevice>, int>(float, int=2)
  1.88%  12.0732s     77804  155.17us  1.4080us  1.4869ms  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16>, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_square_op<float>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const > const > const , Eigen::GpuDevice>, int>(float, int=1)
  1.86%  11.9475s    113843  104.95us  1.5040us  1.3112ms  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16>, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_left<float, float, Eigen::internal::scalar_product_op<float, float>>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const > const > const , Eigen::GpuDevice>, int>(float, int=1)
  1.85%  11.9420s      1448  8.2472ms  2.8208ms  15.583ms  maxwell_scudnn_128x64_stridedB_splitK_interior_nn
  1.69%  10.8765s      4654  2.3370ms  2.0124ms  3.4731ms  maxwell_scudnn_128x128_stridedB_small_nn
  1.61%  10.3541s     35966  287.89us  35.009us  1.3195ms  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, long>, int=16>, Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_max_op<float const >, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, long>, int=16> const , Eigen::TensorCwiseNullaryOp<Eigen::internal::scalar_constant_op<float const >, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, long>, int=16> const > const > const > const , Eigen::GpuDevice>, long>(float, int=1)
  1.45%  9.35889s     87352  107.14us  1.5360us  1.8839ms  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, long>, int=16>, Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_sum_op<float const >, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, long>, int=16> const , Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, long>, int=16> const > const > const , Eigen::GpuDevice>, long>(float, int=1)
  1.43%  9.22147s     11744  785.21us  221.19us  1.9012ms  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16>, Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_sum_op<float>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const , Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, long>, int=16> const > const > const , Eigen::GpuDevice>, long>(float, int=1)
  1.14%  7.37250s     49816  147.99us  2.9440us  3.9661ms  void tensorflow::functor::SwapDimension0And2InTensor3<float>(int, float const *, tensorflow::functor::Dimension<int=3>, tensorflow::functor::SwapDimension0And2InTensor3<float>*)
  1.04%  6.72699s     25870  260.03us  147.52us  1.7637ms  void fft2d_r2c_16x16<float, bool=1>(float2*, float const *, int, int, int, int, int, int, int, int)
  1.00%  6.46249s      2944  2.1951ms  1.9869ms  3.2932ms  maxwell_scudnn_128x128_stridedB_splitK_small_nn
  0.90%  5.82558s      2172  2.6821ms  2.5049ms  3.3992ms  maxwell_scudnn_128x64_stridedB_splitK_medium_nn
  0.85%  5.47122s      2172  2.5190ms  2.3084ms  3.7657ms  maxwell_scudnn_128x64_stridedB_splitK_small_nn
  0.81%  5.18808s     27748  186.97us  39.233us  8.3162ms  _ZN5Eigen8internal20OuterReductionKernelILi16ENS_15TensorEvaluatorIKNS_17TensorReductionOpINS0_10SumReducerIfEEKNS_9IndexListINS_10type2indexILl0EEEJNS7_ILl1EEEEEEKNS_17TensorShufflingOpIKNS6_IS9_JNS7_ILl2EEES8_NS7_ILl3EEEEEEKNS_9TensorMapINS_6TensorIKfLi4ELi1ElEELi16EEEEEEENS_9GpuDeviceEEES5_lEEvT1_T0_T2_SV_PNSU_15CoeffReturnTypeE
  0.79%  5.05914s      2223  2.2758ms  2.0852ms  2.8082ms  maxwell_scudnn_128x64_small_nn
  0.77%  4.93920s      2160  2.2867ms  2.1029ms  2.9083ms  maxwell_scudnn_128x64_stridedB_small_nn
  0.72%  4.61511s      4296  1.0743ms  158.34us  1.8992ms  void magma_lds128_sgemm_kernel<bool=1, bool=0, int=6, int=6, int=4, int=3, int=4>(int, int, int, float const *, int, float const *, int, float*, int, int, int, float const *, float const *, float, float, int)
  0.63%  4.06781s      2202  1.8473ms  510.73us  2.8071ms  void magma_lds128_sgemm_kernel<bool=0, bool=0, int=6, int=5, int=3, int=3, int=3>(int, int, int, float const *, int, float const *, int, float*, int, int, int, float const *, float const *, float, float, int)
  0.62%  3.97575s     27748  143.28us  20.608us  5.8895ms  _ZN5Eigen8internal15EigenMetaKernelINS_15TensorEvaluatorIKNS_14TensorAssignOpINS_9TensorMapINS_6TensorIfLi4ELi1ElEELi16EEEKNS_20TensorBroadcastingOpIKNS_9IndexListINS_10type2indexILl1EEEJiiSB_EEEKNS_17TensorReshapingOpIKNS9_IiJSB_SB_iEEEKNS_18TensorCwiseUnaryOpINS0_19scalar_quotient1_opIKfEEKNS_18TensorForcedEvalOpIKNS_17TensorReductionOpINS0_10SumReducerIfEEKNS9_INSA_ILl0EEEJSB_EEEKNS_17TensorShufflingOpIKNS9_ISB_JNSA_ILl2EEESP_NSA_ILl3EEEEEEKNS4_INS5_ISJ_Li4ELi1ElEELi16EEEEEEEEEEEEEEEEENS_9GpuDeviceEEElEEvT_T0_
  0.59%  3.79555s       723  5.2497ms  4.7557ms  6.7836ms  maxwell_scudnn_128x64_stridedB_splitK_large_nn
  0.56%  3.59150s     12935  277.66us  145.16us  1.9439ms  void fft2d_c2r_16x16<float, bool=0, bool=1>(float*, float2*, int, int, int, int, int, int, int, int, int, int, float, float)
  0.53%  3.43894s      4360  788.75us  711.38us  2.9293ms  cudnn_maxwell_cgemm_64x64_tn_batched
  0.46%  2.96378s     27748  106.81us  5.7920us  4.6292ms  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=3, int=1, long>, int=16>, Eigen::TensorReverseOp<Eigen::array<bool, unsigned long=3> const , Eigen::TensorMap<Eigen::Tensor<float const , int=3, int=1, long>, int=16> const > const > const , Eigen::GpuDevice>, long>(float, int=3)
  0.34%  2.19972s    144515  15.221us     672ns  156.85ms  [CUDA memcpy DtoD]
  0.34%  2.16328s      6052  357.45us  66.369us  878.13us  void setTensor4d_kernel<float, float, int=16, int=16>(cudnnTensor4dStruct, float*, float)
  0.33%  2.12206s      2148  987.92us  856.59us  2.5387ms  maxwell_sgemm_128x64_tn
  0.32%  2.08969s     33810  61.806us  1.8240us  10.493ms  [CUDA memcpy PtoP]
  0.31%  1.97129s         4  492.82ms  487.44ms  496.21ms  void cudnn::detail::dgrad_alg1_engine<float, int=512, int=6, int=5, int=3, int=3, int=3, bool=1, bool=1>(int, int, int, float const *, int, float const , int, cudnn::detail::dgrad_alg1_engine<float, int=512, int=6, int=5, int=3, int=3, int=3, bool=1, bool=1>*, kernel_grad_params, int, int, float, int)
  0.30%  1.93703s       742  2.6106ms  2.4336ms  2.9496ms  maxwell_scudnn_128x64_medium_nn
  0.29%  1.86928s       716  2.6107ms  2.5027ms  3.1742ms  void cudnn::detail::pooling_bw_kernel_max<float, float, cudnn::detail::maxpooling_func<float, cudnnNanPropagation_t=0>>(cudnnTensorStruct, float const *, cudnn::detail::pooling_bw_kernel_max<float, float, cudnn::detail::maxpooling_func<float, cudnnNanPropagation_t=0>>, float const , cudnn::detail::pooling_bw_kernel_max<float, float, cudnn::detail::maxpooling_func<float, cudnnNanPropagation_t=0>>, float const , cudnn::detail::pooling_bw_kernel_max<float, float, cudnn::detail::maxpooling_func<float, cudnnNanPropagation_t=0>>, cudnnTensorStruct*, cudnnPoolingStruct, float, cudnnPoolingStruct, int, cudnn::reduced_divisor, float)
  0.28%  1.79999s      8821  204.06us  9.3440us  1.3090ms  void flip_filter<float, float>(float*, float const *, int, int, int, int)
  0.27%  1.73099s     11456  151.10us  54.753us  1.3059ms  void gemm_kernel1x1_tex_core<float, bool=1, bool=0, bool=0, bool=1, bool=0>(float*, int, int, int, int, int, int, int, int, float*, float*, float, float, int)
  0.25%  1.61563s     11744  137.57us  54.882us  700.53us  void gemm_kernel1x1_tex_core<float, bool=1, bool=0, bool=0, bool=0, bool=0>(float*, int, int, int, int, int, int, int, int, float*, float*, float, float, int)
  0.22%  1.39010s      1468  946.94us  861.43us  1.5553ms  maxwell_sgemm_128x64_nn
  0.19%  1.21691s        24  50.705ms  21.139ms  82.730ms  void cudnn::detail::dgrad_alg1_engine<float, int=128, int=6, int=8, int=3, int=3, int=5, bool=1, bool=1>(int, int, int, float const *, int, float const , int, cudnn::detail::dgrad_alg1_engine<float, int=128, int=6, int=8, int=3, int=3, int=5, bool=1, bool=1>*, kernel_grad_params, int, int, float, int)
  0.17%  1.11939s       734  1.5251ms  1.4405ms  1.7192ms  void tensorflow::_GLOBAL__N__67_tmpxft_00007fc6_00000000_13_maxpooling_op_gpu_cu_compute_52_cpp1_ii_af505f36::MaxPoolForwardNHWC<float>(int, float const *, int, int, int, int, int, int, int, int, int, int, int, tensorflow::_GLOBAL__N__67_tmpxft_00007fc6_00000000_13_maxpooling_op_gpu_cu_compute_52_cpp1_ii_af505f36::MaxPoolForwardNHWC<float>*, __int64*)
  0.13%  814.91ms      2164  376.57us  354.50us  931.92us  void tensorflow::functor::SwapDimension1And2InTensor3<float>(int, float const *, tensorflow::functor::Dimension<int=3>, tensorflow::functor::SwapDimension1And2InTensor3<float>*)
  0.13%  812.08ms    149918  5.4160us  1.3440us  1.0288ms  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16>, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_right<float, float, Eigen::internal::scalar_sum_op<float>>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const > const > const , Eigen::GpuDevice>, int>(float, int=1)
  0.13%  811.37ms     27748  29.240us  2.4320us  1.4348ms  _ZN5Eigen8internal15EigenMetaKernelINS_15TensorEvaluatorIKNS_14TensorAssignOpINS_9TensorMapINS_6TensorIfLi4ELi1ElEELi16EEEKNS_19TensorCwiseBinaryOpINS0_13scalar_sum_opIfEEKS7_KNS8_INS0_17scalar_product_opIffEEKNS8_INS0_20scalar_difference_opIKfEEKNS4_INS5_ISF_Li4ELi1ElEELi16EEESB_EEKNS_20TensorBroadcastingOpIKNS_5arrayIiLm4EEEKNS_17TensorReshapingOpIKNS_5SizesIJLl1ELl1ELl1ELl1EEEEKNS4_INS_15TensorFixedSizeISF_NSR_IJEEELi1ElEELi16EEEEEEEEEEEEENS_9GpuDeviceEEElEEvT_T0_
  0.12%  767.89ms      1449  529.94us  500.94us  968.17us  void tensorflow::functor::PadInputCustomKernelNHWC<float, int=4>(int, float const *, tensorflow::functor::Dimension<int=4>, tensorflow::functor::PadInputCustomKernelNHWC<float, int=4>*, float const *, float const *)
  0.12%  757.88ms      1051  721.10us  110.50us  7.8393ms  void fft2d_r2c_32x32<float, bool=1>(float2*, float const *, int, int, int, int, int, int, int, int, int)
  0.09%  578.79ms       112  5.1677ms  3.0845ms  12.827ms  void cudnn::detail::implicit_convolve_sgemm<float, int=512, int=6, int=8, int=3, int=3, int=5, int=1, bool=1, bool=0>(int, int, int, float const *, int, cudnn::detail::implicit_convolve_sgemm<float, int=512, int=6, int=8, int=3, int=3, int=5, int=1, bool=1, bool=0>*, float const *, kernel_conv_params, int, float, float)
  0.08%  544.24ms     27743  19.617us  14.784us  109.44us  void tensorflow::_GLOBAL__N__63_tmpxft_000071c2_00000000_13_split_lib_gpu_cu_compute_52_cpp1_ii_b16fd08b::SplitOpKernel<float>(float const *, int, int, int, tensorflow::CudaDeviceArrayStruct<tensorflow::_GLOBAL__N__63_tmpxft_000071c2_00000000_13_split_lib_gpu_cu_compute_52_cpp1_ii_b16fd08b::SplitOpKernel<float>*, int=8>)
  0.08%  530.94ms    238685  2.2240us  1.3440us  160.04us  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16>, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_right<float, float, Eigen::internal::scalar_product_op<float, float>>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const > const > const , Eigen::GpuDevice>, int>(float, int=1)
  0.07%  444.44ms       112  3.9682ms  2.3605ms  9.8577ms  void cudnn::detail::explicit_convolve_sgemm<float, int, int=512, int=6, int=8, int=3, int=3, int=5, int=0, bool=1>(int, int, int, float const *, int, float const , int, cudnn::detail::explicit_convolve_sgemm<float, int, int=512, int=6, int=8, int=3, int=3, int=5, int=0, bool=1>*, kernel_conv_params, int, int, float, float)
  0.07%  421.80ms     27749  15.200us  1.5680us  943.86us  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, long>, int=16>, Eigen::TensorConversionOp<float, Eigen::TensorMap<Eigen::Tensor<unsigned char const , int=1, int=1, long>, int=16> const > const > const , Eigen::GpuDevice>, long>(float, int=1)
  0.06%  406.41ms        56  7.2574ms  3.3314ms  25.591ms  void cudnn::detail::wgrad_alg0_engine<float, int=128, int=6, int=8, int=3, int=3, int=5, bool=1, int=512>(int, int, int, float const *, int, cudnn::detail::wgrad_alg0_engine<float, int=128, int=6, int=8, int=3, int=3, int=5, bool=1, int=512>*, float const , kernel_grad_params, int, float, int, int)
  0.06%  390.27ms    113843  3.4280us  1.8880us  150.75us  void Eigen::internal::FullReductionKernel<int=256, int=128, Eigen::TensorEvaluator<Eigen::TensorReductionOp<Eigen::internal::SumReducer<float>, Eigen::array<long, unsigned long=1> const , Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const > const , Eigen::GpuDevice>, Eigen::internal::SumReducer<float>, int>(Eigen::internal::SumReducer<float>, float, long, Eigen::internal::SumReducer<float>::CoeffReturnType*, unsigned int*)
  0.06%  379.03ms       715  530.12us  505.83us  932.59us  void tensorflow::functor::PadInputCustomKernelNCHW<float, int=4>(int, float const *, tensorflow::functor::Dimension<int=4>, tensorflow::functor::PadInputCustomKernelNCHW<float, int=4>*, float const *, float const *)
  0.05%  350.71ms    155902  2.2490us  1.0880us  249.44us  void Eigen::internal::ReductionInitKernel<float, int>(float, int, Eigen::internal::ReductionInitKernel<float, int>*)
  0.05%  344.80ms      5184  66.512us  58.817us  312.29us  maxwell_cgemm_64x32_tn
  0.05%  330.50ms     83226  3.9710us  2.9450us  37.600us  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorSlicingOp<Eigen::array<int, unsigned long=2> const , Eigen::array<int, unsigned long=2> const , Eigen::TensorMap<Eigen::Tensor<float, int=2, int=1, int>, int=16>>, Eigen::TensorMap<Eigen::Tensor<float const , int=2, int=1, int>, int=16> const > const , Eigen::GpuDevice>, int>(int, unsigned long=2)
  0.04%  285.91ms     18652  15.328us     640ns  49.548ms  [CUDA memset]
  0.04%  261.73ms     12355  21.184us  1.6960us  253.64us  void cudnn::maxwell::gemm::setOutputKernel<float>(int, float*, float)
  0.04%  236.48ms     83268  2.8400us  1.8560us  32.000us  void tensorflow::functor::FillPhiloxRandomKernelLaunch<tensorflow::random::UniformDistribution<tensorflow::random::PhiloxRandom, float>>(tensorflow::random::PhiloxRandom, tensorflow::random::PhiloxRandomResultElementType*, __int64, tensorflow::functor::FillPhiloxRandomKernelLaunch<tensorflow::random::UniformDistribution<tensorflow::random::PhiloxRandom, float>>)
  0.04%  236.38ms     83226  2.8400us  1.8880us  31.617us  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16>, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_right<float, float, Eigen::internal::scalar_difference_op<float>>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const > const > const , Eigen::GpuDevice>, int>(float, int=1)
  0.04%  230.47ms     75896  3.0360us  1.4080us  196.83us  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16>, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_opposite_op<float>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const > const > const , Eigen::GpuDevice>, int>(float, int=1)
  0.03%  210.24ms      5184  40.554us  34.433us  167.84us  void gemm_kernel1x1_tex_core<float2, bool=1, bool=0, bool=0, bool=1, bool=0>(float2*, int, int, int, int, int, int, int, int, float2*, float2*, float2, float2, int)
  0.03%  196.30ms     16261  12.071us  1.6640us  417.55us  _ZN5Eigen8internal15EigenMetaKernelINS_15TensorEvaluatorIKNS_14TensorAssignOpINS_9TensorMapINS_6TensorIfLi1ELi1ElEELi16EEEKNS_19TensorCwiseBinaryOpINS0_13scalar_sum_opIfEEKNS8_INS0_17scalar_product_opIffEEKS7_KNS_20TensorBroadcastingOpIKNS_5arrayIlLm1EEEKNS_17TensorReshapingOpIKNS_5SizesIJLl1EEEEKNS4_INS_15TensorFixedSizeIKfNSJ_IJEEELi1ElEELi16EEEEEEEEEKNS4_INS5_ISN_Li1ELi1ElEELi16EEEEEEENS_9GpuDeviceEEElEEvT_T0_
  0.03%  193.64ms       584  331.58us  166.44us  819.44us  void fft2d_c2r_32x32<float, bool=0, bool=1>(float*, float2 const *, int, int, int, int, int, int, int, int, int, float, float)
  0.03%  191.05ms     16261  11.749us  1.6640us  420.39us  _ZN5Eigen8internal15EigenMetaKernelINS_15TensorEvaluatorIKNS_14TensorAssignOpINS_9TensorMapINS_6TensorIfLi1ELi1ElEELi16EEEKNS_19TensorCwiseBinaryOpINS0_20scalar_difference_opIfEEKS7_KNS8_INS0_17scalar_product_opIKfSD_EEKNS_20TensorBroadcastingOpIKNS_5arrayIlLm1EEEKNS_17TensorReshapingOpIKNS_5SizesIJLl1EEEEKNS4_INS_15TensorFixedSizeISD_NSK_IJEEELi1ElEELi16EEEEEEESB_EEEEEENS_9GpuDeviceEEElEEvT_T0_
  0.03%  185.30ms     77804  2.3810us  1.5360us  46.305us  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16>, Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_difference_op<float>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const , Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, long>, int=16> const > const > const , Eigen::GpuDevice>, long>(float, int=1)
