==97626== NVPROF is profiling process 97626, command: python train_multigpu.py --train_dir ./train_multigpu1 --batch_size 96 --num_gpus 4 --max_steps 25000 --initial_lr 0.001 --lr_step_epoch 3.0 --lr_decay 0.1 --l2_weight 0.0001 --momentum 0.9 --gpu_fraction 0.96 --checkpoint_interval 6672
==97626== Profiling application: python train_multigpu.py --train_dir ./train_multigpu1 --batch_size 96 --num_gpus 4 --max_steps 25000 --initial_lr 0.001 --lr_step_epoch 3.0 --lr_decay 0.1 --l2_weight 0.0001 --momentum 0.9 --gpu_fraction 0.96 --checkpoint_interval 6672
==97626== Warning: Found 3906360 invalid records in the result.
==97626== Warning: This can happen if device ran out of memory or if a device kernel was stopped due to an assertion.
==97626== Profiling result:
Time(%)      Time     Calls       Avg       Min       Max  Name
  2.63%  47.2178s    111081  425.08us  51.137us  2.1388ms  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=4, int=1, int>, int=16>, Eigen::TensorBroadcastingOp<Eigen::array<int, unsigned long=4> const , Eigen::TensorMap<Eigen::Tensor<float const , int=4, int=1, int>, int=16> const > const > const , Eigen::GpuDevice>, int>(float, int=4)
  2.57%  46.0978s     50868  906.22us  105.79us  4.3095ms  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, long>, int=16>, Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_product_op<float const , float const >, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, long>, int=16> const , Eigen::TensorConversionOp<float, Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_cmp_op<float const , Eigen::internal::ComparisonName>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, long>, int=16> const , Eigen::TensorCwiseNullaryOp<Eigen::internal::scalar_constant_op<float const >, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, long>, int=16> const > const > const > const > const > const , Eigen::GpuDevice>, long>(float, int=1)
  2.43%  43.5656s      4184  10.412ms  3.6772ms  22.195ms  maxwell_scudnn_128x128_stridedB_splitK_interior_nn
  2.37%  42.4724s     16611  2.5569ms  1.7523ms  4.3170ms  maxwell_sgemm_128x64_nt
  2.20%  39.4647s      2112  18.686ms  8.6799ms  30.207ms  void cudnn::detail::dgrad_engine<float, int=128, int=6, int=7, int=3, int=3, int=5, bool=1>(int, int, int, float const *, int, float const , int, cudnn::detail::dgrad_engine<float, int=128, int=6, int=7, int=3, int=3, int=5, bool=1>*, kernel_grad_params, int, int, float, int)
  2.07%  37.1584s      2096  17.728ms  6.7541ms  32.934ms  void cudnn::detail::dgrad_engine<float, int=512, int=6, int=5, int=3, int=3, int=3, bool=1>(int, int, int, float const *, int, float const , int, cudnn::detail::dgrad_engine<float, int=512, int=6, int=5, int=3, int=3, int=3, bool=1>*, kernel_grad_params, int, int, float, int)
  1.98%  35.5265s     56489  628.91us  73.729us  2.6736ms  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=2, int=1, int>, int=16>, Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_sum_op<float>, Eigen::TensorMap<Eigen::Tensor<float const , int=2, int=1, int>, int=16> const , Eigen::TensorBroadcastingOp<Eigen::array<long, unsigned long=2> const , Eigen::TensorMap<Eigen::Tensor<float const , int=2, int=1, int>, int=16> const > const > const > const , Eigen::GpuDevice>, int>(float, int=2)
  1.98%  35.4741s      2092  16.957ms  5.0239ms  33.908ms  maxwell_scudnn_128x64_stridedB_splitK_interior_nn
  1.98%  35.4368s    112980  313.66us  1.4080us  2.6671ms  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16>, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_square_op<float>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const > const > const , Eigen::GpuDevice>, int>(float, int=1)
  1.94%  34.7089s    165060  210.28us  1.5040us  2.6721ms  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16>, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_left<float, float, Eigen::internal::scalar_product_op<float, float>>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const > const > const , Eigen::GpuDevice>, int>(float, int=1)
  1.69%  30.3828s     52226  581.76us  70.594us  2.6742ms  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, long>, int=16>, Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_max_op<float const >, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, long>, int=16> const , Eigen::TensorCwiseNullaryOp<Eigen::internal::scalar_constant_op<float const >, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, long>, int=16> const > const > const > const , Eigen::GpuDevice>, long>(float, int=1)
  1.57%  28.1450s     21170  1.3295ms  1.1383ms  17.931ms  cudnn_maxwell_gcgemm_64x32_tn_batched
  1.51%  27.0363s    126648  213.48us  1.5360us  3.8215ms  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, long>, int=16>, Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_sum_op<float const >, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, long>, int=16> const , Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, long>, int=16> const > const > const , Eigen::GpuDevice>, long>(float, int=1)
  1.51%  27.0190s     17053  1.5844ms  444.81us  3.8265ms  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16>, Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_sum_op<float>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const , Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, long>, int=16> const > const > const , Eigen::GpuDevice>, long>(float, int=1)
  1.10%  19.6893s      4232  4.6525ms  4.0248ms  5.4547ms  maxwell_scudnn_128x128_stridedB_splitK_small_nn
  1.00%  18.0001s      3138  5.7362ms  4.9836ms  6.6093ms  maxwell_scudnn_128x64_stridedB_splitK_medium_nn
  0.92%  16.4260s      3482  4.7174ms  3.8580ms  6.3660ms  maxwell_scudnn_128x128_small_nn
  0.89%  15.9600s      3141  5.0812ms  4.4937ms  6.2109ms  maxwell_scudnn_128x64_stridedB_splitK_small_nn
  0.87%  15.5319s      3169  4.9012ms  3.9441ms  6.6332ms  maxwell_scudnn_128x128_stridedB_small_nn
  0.86%  15.4024s      3222  4.7804ms  4.1585ms  5.5624ms  maxwell_scudnn_128x64_small_nn
  0.85%  15.2016s      3126  4.8630ms  4.2279ms  5.2035ms  maxwell_scudnn_128x64_stridedB_small_nn
  0.80%  14.3090s     37992  376.63us  289.28us  1.8120ms  void fft2d_r2c_16x16<float, bool=1>(float2*, float const *, int, int, int, int, int, int, int, int)
  0.75%  13.5074s      5190  2.6026ms  959.00us  3.4754ms  void magma_lds128_sgemm_kernel<bool=1, bool=0, int=6, int=6, int=4, int=3, int=4>(int, int, int, float const *, int, float const *, int, float*, int, int, int, float const *, float const *, float, float, int)
  0.70%  12.4612s      1046  11.913ms  9.9526ms  13.448ms  maxwell_scudnn_128x64_stridedB_splitK_large_nn
  0.69%  12.3643s     17088  723.56us  103.30us  8.2891ms  void fft2d_r2c_32x32<float, bool=1>(float2*, float const *, int, int, int, int, int, int, int, int, int)
  0.67%  11.9271s      3198  3.7296ms  983.45us  5.6048ms  void magma_lds128_sgemm_kernel<bool=0, bool=0, int=6, int=5, int=3, int=3, int=3>(int, int, int, float const *, int, float const *, int, float*, int, int, int, float const *, float const *, float, float, int)
  0.60%  10.7748s     72270  149.09us  3.0080us  3.4028ms  void tensorflow::functor::SwapDimension0And2InTensor3<float>(int, float const *, tensorflow::functor::Dimension<int=3>, tensorflow::functor::SwapDimension0And2InTensor3<float>*)
  0.56%  10.1289s     51445  196.89us  39.297us  9.7169ms  _ZN5Eigen8internal20OuterReductionKernelILi16ENS_15TensorEvaluatorIKNS_17TensorReductionOpINS0_10SumReducerIfEEKNS_9IndexListINS_10type2indexILl0EEEJNS7_ILl1EEEEEEKNS_17TensorShufflingOpIKNS6_IS9_JNS7_ILl2EEES8_NS7_ILl3EEEEEEKNS_9TensorMapINS_6TensorIKfLi4ELi1ElEELi16EEEEEEENS_9GpuDeviceEEES5_lEEvT1_T0_T2_SV_PNSU_15CoeffReturnTypeE
  0.52%  9.41095s      6292  1.4957ms  1.2679ms  5.5173ms  cudnn_maxwell_cgemm_64x64_tn_batched
  0.43%  7.73958s     51445  150.44us  20.448us  7.5559ms  _ZN5Eigen8internal15EigenMetaKernelINS_15TensorEvaluatorIKNS_14TensorAssignOpINS_9TensorMapINS_6TensorIfLi4ELi1ElEELi16EEEKNS_20TensorBroadcastingOpIKNS_9IndexListINS_10type2indexILl1EEEJiiSB_EEEKNS_17TensorReshapingOpIKNS9_IiJSB_SB_iEEEKNS_18TensorCwiseUnaryOpINS0_19scalar_quotient1_opIKfEEKNS_18TensorForcedEvalOpIKNS_17TensorReductionOpINS0_10SumReducerIfEEKNS9_INSA_ILl0EEEJSB_EEEKNS_17TensorShufflingOpIKNS9_ISB_JNSA_ILl2EEESP_NSA_ILl3EEEEEEKNS4_INS5_ISJ_Li4ELi1ElEELi16EEEEEEEEEEEEEEEEENS_9GpuDeviceEEElEEvT_T0_
  0.43%  7.65890s    467810  16.371us     672ns  36.859ms  [CUDA memcpy DtoD]
  0.40%  7.24181s     18996  381.23us  268.07us  2.0477ms  void fft2d_c2r_16x16<float, bool=0, bool=1>(float*, float2*, int, int, int, int, int, int, int, int, int, int, float, float)
  0.36%  6.40304s      8424  760.09us  132.45us  1.4778ms  void setTensor4d_kernel<float, float, int=16, int=16>(cudnnTensor4dStruct, float*, float)
  0.36%  6.40212s      8598  744.61us  336.01us  1.7628ms  void fft2d_c2r_32x32<float, bool=0, bool=1>(float*, float2 const *, int, int, int, int, int, int, int, int, int, float, float)
  0.33%  6.00045s      1074  5.5870ms  4.9116ms  5.9122ms  maxwell_scudnn_128x64_medium_nn
  0.32%  5.77007s     51445  112.16us  5.5040us  5.9513ms  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=3, int=1, long>, int=16>, Eigen::TensorReverseOp<Eigen::array<bool, unsigned long=3> const , Eigen::TensorMap<Eigen::Tensor<float const , int=3, int=1, long>, int=16> const > const > const , Eigen::GpuDevice>, long>(float, int=3)
  0.32%  5.67738s      1038  5.4695ms  5.0206ms  5.8235ms  void cudnn::detail::pooling_bw_kernel_max<float, float, cudnn::detail::maxpooling_func<float, cudnnNanPropagation_t=0>>(cudnnTensorStruct, float const *, cudnn::detail::pooling_bw_kernel_max<float, float, cudnn::detail::maxpooling_func<float, cudnnNanPropagation_t=0>>, float const , cudnn::detail::pooling_bw_kernel_max<float, float, cudnn::detail::maxpooling_func<float, cudnnNanPropagation_t=0>>, float const , cudnn::detail::pooling_bw_kernel_max<float, float, cudnn::detail::maxpooling_func<float, cudnnNanPropagation_t=0>>, cudnnTensorStruct*, cudnnPoolingStruct, float, cudnnPoolingStruct, int, cudnn::reduced_divisor, float)
  0.28%  4.93243s     58926  83.705us  1.9200us  29.209ms  [CUDA memcpy PtoP]
  0.26%  4.68933s     17026  275.42us  9.4400us  2.6392ms  void flip_filter<float, float>(float*, float const *, int, int, int, int)
  0.22%  3.96973s         4  992.43ms  989.59ms  996.62ms  void cudnn::detail::dgrad_alg1_engine<float, int=512, int=6, int=5, int=3, int=3, int=3, bool=1, bool=1>(int, int, int, float const *, int, float const , int, cudnn::detail::dgrad_alg1_engine<float, int=512, int=6, int=5, int=3, int=3, int=3, bool=1, bool=1>*, kernel_grad_params, int, int, float, int)
  0.19%  3.47614s      1066  3.2609ms  2.8884ms  3.7635ms  void tensorflow::_GLOBAL__N__67_tmpxft_00007fc6_00000000_13_maxpooling_op_gpu_cu_compute_52_cpp1_ii_af505f36::MaxPoolForwardNHWC<float>(int, float const *, int, int, int, int, int, int, int, int, int, int, int, tensorflow::_GLOBAL__N__67_tmpxft_00007fc6_00000000_13_maxpooling_op_gpu_cu_compute_52_cpp1_ii_af505f36::MaxPoolForwardNHWC<float>*, __int64*)
  0.14%  2.50350s      3142  796.79us  704.21us  1.1563ms  void tensorflow::functor::SwapDimension1And2InTensor3<float>(int, float const *, tensorflow::functor::Dimension<int=3>, tensorflow::functor::SwapDimension1And2InTensor3<float>*)
  0.14%  2.43885s        24  101.62ms  41.584ms  163.87ms  void cudnn::detail::dgrad_alg1_engine<float, int=128, int=6, int=8, int=3, int=3, int=5, bool=1, bool=1>(int, int, int, float const *, int, float const , int, cudnn::detail::dgrad_alg1_engine<float, int=128, int=6, int=8, int=3, int=3, int=5, bool=1, bool=1>*, kernel_grad_params, int, int, float, int)
  0.13%  2.37188s      2104  1.1273ms  1.0006ms  1.1925ms  void tensorflow::functor::PadInputCustomKernelNHWC<float, int=4>(int, float const *, tensorflow::functor::Dimension<int=4>, tensorflow::functor::PadInputCustomKernelNHWC<float, int=4>*, float const *, float const *)
  0.10%  1.86322s      5193  358.79us  287.08us  2.6340ms  void gemm_kernel1x1_tex_core<float, bool=1, bool=0, bool=0, bool=1, bool=0>(float*, int, int, int, int, int, int, int, int, float*, float*, float, float, int)
  0.10%  1.85468s      5325  348.30us  292.65us  772.84us  void gemm_kernel1x1_tex_core<float, bool=1, bool=0, bool=0, bool=0, bool=0>(float*, int, int, int, int, int, int, int, int, float*, float*, float, float, int)
  0.09%  1.53168s     33080  46.302us     640ns  30.880ms  [CUDA memset]
  0.08%  1.51964s    262315  5.7930us  1.3440us  1.1905ms  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16>, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_right<float, float, Eigen::internal::scalar_sum_op<float>>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const > const > const , Eigen::GpuDevice>, int>(float, int=1)
  0.08%  1.51553s     51444  29.459us  2.3680us  1.6552ms  _ZN5Eigen8internal15EigenMetaKernelINS_15TensorEvaluatorIKNS_14TensorAssignOpINS_9TensorMapINS_6TensorIfLi4ELi1ElEELi16EEEKNS_19TensorCwiseBinaryOpINS0_13scalar_sum_opIfEEKS7_KNS8_INS0_17scalar_product_opIffEEKNS8_INS0_20scalar_difference_opIKfEEKNS4_INS5_ISF_Li4ELi1ElEELi16EEESB_EEKNS_20TensorBroadcastingOpIKNS_5arrayIiLm4EEEKNS_17TensorReshapingOpIKNS_5SizesIJLl1ELl1ELl1ELl1EEEEKNS4_INS_15TensorFixedSizeISF_NSR_IJEEELi1ElEELi16EEEEEEEEEEEEENS_9GpuDeviceEEElEEvT_T0_
  0.06%  1.15129s      1038  1.1091ms  1.0075ms  1.1664ms  void tensorflow::functor::PadInputCustomKernelNCHW<float, int=4>(int, float const *, tensorflow::functor::Dimension<int=4>, tensorflow::functor::PadInputCustomKernelNCHW<float, int=4>*, float const *, float const *)
  0.06%  1.10101s       112  9.8305ms  5.6261ms  22.607ms  void cudnn::detail::implicit_convolve_sgemm<float, int=512, int=6, int=8, int=3, int=3, int=5, int=1, bool=1, bool=0>(int, int, int, float const *, int, cudnn::detail::implicit_convolve_sgemm<float, int=512, int=6, int=8, int=3, int=3, int=5, int=1, bool=1, bool=0>*, float const *, kernel_conv_params, int, float, float)
  0.06%  1.05775s     51441  20.562us  15.073us  206.82us  void tensorflow::_GLOBAL__N__63_tmpxft_000071c2_00000000_13_split_lib_gpu_cu_compute_52_cpp1_ii_b16fd08b::SplitOpKernel<float>(float const *, int, int, int, tensorflow::CudaDeviceArrayStruct<tensorflow::_GLOBAL__N__63_tmpxft_000071c2_00000000_13_split_lib_gpu_cu_compute_52_cpp1_ii_b16fd08b::SplitOpKernel<float>*, int=8>)
  0.05%  852.30ms       112  7.6098ms  4.2937ms  17.259ms  void cudnn::detail::explicit_convolve_sgemm<float, int, int=512, int=6, int=8, int=3, int=3, int=5, int=0, bool=1>(int, int, int, float const *, int, float const , int, cudnn::detail::explicit_convolve_sgemm<float, int, int=512, int=6, int=8, int=3, int=3, int=5, int=0, bool=1>*, kernel_conv_params, int, int, float, float)
  0.05%  837.97ms    378949  2.2110us  1.3440us  107.75us  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16>, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_right<float, float, Eigen::internal::scalar_product_op<float, float>>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const > const > const , Eigen::GpuDevice>, int>(float, int=1)
  0.05%  819.79ms        56  14.639ms  6.6228ms  51.912ms  void cudnn::detail::wgrad_alg0_engine<float, int=128, int=6, int=8, int=3, int=3, int=5, bool=1, int=512>(int, int, int, float const *, int, cudnn::detail::wgrad_alg0_engine<float, int=128, int=6, int=8, int=3, int=3, int=5, bool=1, int=512>*, float const , kernel_grad_params, int, float, int, int)
  0.04%  788.67ms     51445  15.330us  1.4400us  1.1018ms  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, long>, int=16>, Eigen::TensorConversionOp<float, Eigen::TensorMap<Eigen::Tensor<unsigned char const , int=1, int=1, long>, int=16> const > const > const , Eigen::GpuDevice>, long>(float, int=1)
  0.04%  661.62ms    154307  4.2870us  3.2000us  70.466us  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorSlicingOp<Eigen::array<int, unsigned long=2> const , Eigen::array<int, unsigned long=2> const , Eigen::TensorMap<Eigen::Tensor<float, int=2, int=1, int>, int=16>>, Eigen::TensorMap<Eigen::Tensor<float const , int=2, int=1, int>, int=16> const > const , Eigen::GpuDevice>, int>(int, unsigned long=2)
  0.03%  520.43ms    165060  3.1520us  1.9200us  92.097us  void Eigen::internal::FullReductionKernel<int=256, int=128, Eigen::TensorEvaluator<Eigen::TensorReductionOp<Eigen::internal::SumReducer<float>, Eigen::array<long, unsigned long=1> const , Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const > const , Eigen::GpuDevice>, Eigen::internal::SumReducer<float>, int>(Eigen::internal::SumReducer<float>, float, long, Eigen::internal::SumReducer<float>::CoeffReturnType*, unsigned int*)
  0.03%  484.33ms    154384  3.1370us  1.9520us  207.05us  void tensorflow::functor::FillPhiloxRandomKernelLaunch<tensorflow::random::UniformDistribution<tensorflow::random::PhiloxRandom, float>>(tensorflow::random::PhiloxRandom, tensorflow::random::PhiloxRandomResultElementType*, __int64, tensorflow::functor::FillPhiloxRandomKernelLaunch<tensorflow::random::UniformDistribution<tensorflow::random::PhiloxRandom, float>>)
  0.03%  468.86ms    226215  2.0720us  1.1200us  178.69us  void Eigen::internal::ReductionInitKernel<float, int>(float, int, Eigen::internal::ReductionInitKernel<float, int>*)
  0.03%  465.35ms    154315  3.0150us  1.8560us  97.475us  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16>, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_right<float, float, Eigen::internal::scalar_difference_op<float>>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const > const > const , Eigen::GpuDevice>, int>(float, int=1)
  0.02%  397.24ms     17833  22.275us  1.4400us  343.72us  void cudnn::maxwell::gemm::setOutputKernel<float>(int, float*, float)
  0.02%  334.34ms       184  1.8171ms  507.76us  3.8350ms  void im2col4d_kernel<float, int>(im2col4d_params, cudnnConvolutionStruct, cudnnTensor4dStruct, float const *, float*, int)
  0.02%  332.91ms      2173  153.20us  2.7840us  404.91us  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16>, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_right<float, float, Eigen::internal::scalar_quotient_op<float, float>>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const > const > const , Eigen::GpuDevice>, int>(float, int=1)
  0.02%  327.65ms        32  10.239ms  9.4096ms  12.984ms  void cudnn::detail::implicit_convolve_sgemm<float, int=128, int=5, int=5, int=3, int=3, int=3, int=1, bool=1, bool=0>(int, int, int, float const *, int, cudnn::detail::implicit_convolve_sgemm<float, int=128, int=5, int=5, int=3, int=3, int=3, int=1, bool=1, bool=0>*, float const *, kernel_conv_params, int, float, float)
  0.02%  307.65ms        40  7.6912ms  7.1923ms  7.8674ms  void cudnn::detail::implicit_convolve_sgemm<float, int=128, int=6, int=7, int=3, int=3, int=5, int=1, bool=1, bool=0>(int, int, int, float const *, int, cudnn::detail::implicit_convolve_sgemm<float, int=128, int=6, int=7, int=3, int=3, int=5, int=1, bool=1, bool=0>*, float const *, kernel_conv_params, int, float, float)
  0.02%  287.17ms    110040  2.6090us  1.4400us  121.41us  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16>, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_opposite_op<float>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const > const > const , Eigen::GpuDevice>, int>(float, int=1)
  0.02%  271.92ms    112980  2.4060us  1.5680us  36.576us  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16>, Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_difference_op<float>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const , Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, long>, int=16> const > const > const , Eigen::GpuDevice>, long>(float, int=1)
  0.01%  254.47ms      1041  244.45us  209.64us  350.76us  void gemm_kernel1x1_tex_core<float, bool=0, bool=0, bool=0, bool=1, bool=0>(float*, int, int, int, int, int, int, int, int, float*, float*, float, float, int)
  0.01%  254.17ms      1065  238.66us  214.15us  590.73us  void sgemm_largek_lds64<bool=0, bool=0, int=5, int=5, int=4, int=4, int=4, int=32>(float*, float const *, float const *, int, int, int, int, int, int, float const *, float const *, float, float, int, int, int*, int*)
